6769   ,10848  
2225   ,6293   
4053   ,9461   
4230   ,10937  
5446   ,10311  
3241   ,8863   
3396   ,7174   
1431   ,3269   
1553   ,3974   
3202   ,6835   
3394   ,10407  
5278   ,11007  
4561   ,12491  
3236   ,7592   
2387   ,6102   
1904   ,4954   
4976   ,9686   
3229   ,6532   
3592   ,9295   
3571   ,10631  
2142   ,5096   
3291   ,7408   
3427   ,6979   
2650   ,6242   
2196   ,4055   
3624   ,5787   
5162   ,8795   
8      ,8      
8      ,8      
4577   ,9626   
2634   ,6228   
3115   ,9942   
1253   ,3423   
3484   ,6241   
3938   ,8599   
8      ,8      
8      ,8      
3279   ,7005   
3827   ,11194  
3340   ,10526  
1978   ,4297   
5318   ,10524  
5983   ,11304  
4197   ,9222   
3257   ,6743   
4898   ,11421  
5186   ,9877   
7911   ,15242  
7717   ,16413  
4559   ,9584   
6198   ,12566  
2381   ,7791   
3759   ,8803   
2150   ,5271   
4351   ,9293   
6494   ,10824  
1522   ,6214   
8638   ,12466  
1030   ,3303   
6619   ,12782  
3041   ,9425   
14215  ,21369  
5710   ,12188  
4420   ,6750   
14537  ,24338  
3457   ,11666  
8942   ,19402  
8474   ,20193  
8072   ,15389  
5080   ,15233  
5299   ,11908  
3142   ,6817   
3078   ,7822   
5289   ,11059  
4526   ,13332  
6394   ,14033  
5794   ,16468  
3368   ,8599   
3891   ,9509   
3984   ,9244   
9286   ,17782  
6268   ,13361  
5853   ,14266  
4349   ,12604  
2734   ,6278   
4842   ,11103  
4299   ,9226   
4014   ,9260   
4777   ,8308   
7645   ,12498  
7735   ,12951  
8      ,8      
8      ,8      
6472   ,13509  
4598   ,10363  
4344   ,13910  
3222   ,7735   
6007   ,11050  
5102   ,11650  
8      ,8      
8      ,8      
4221   ,8216   
5392   ,17534  
5393   ,15019  
4172   ,9244   
6845   ,14830  
8295   ,16661  
5751   ,12716  
3451   ,6727   
6296   ,14314  
7140   ,13228  
15076  ,27466  
10297  ,21722  
7781   ,17390  
