6506;7252;14369
2704;3176;6146
4402;5258;10076
4045;4794;9206
1208;1375;2696
1571;1859;3558
1815;3944;6005
6918;6360;13882
6639;7636;14897
6478;7275;14330
2975;2935;6163
4696;5064;10151
4220;4390;8965
1132;1279;2489
1567;1625;3328
3717;2209;6173
5969;7894;14418
6873;7279;14805
6593;7152;14329
2623;3200;6089
4348;5195;9922
3833;4514;8711
1046;1293;2425
1438;1772;3338
1953;4247;6448
7240;6752;14579
6913;7850;15448
6427;7164;14165
2845;2967;6053
4565;4724;9652
3962;4122;8432
1072;1177;2335
1463;1505;3098
4169;2470;6951
6220;8161;14999
6965;7581;15179
6598;7239;14386
2555;3168;5965
4128;4925;9416
3538;4188;8051
1036;1193;2323
1231;1583;2940
2123;4687;7100
7523;7231;15422
6893;7919;15432
6404;7260;14228
2858;2952;6060
4447;4453;9279
3833;3647;7777
989;1033;2108
1370;1326;2804
4527;2623;7470
6582;8496;15677
7113;7814;15588
6592;7059;14234
2615;3131;5956
3835;4793;9005
3226;4029;7585
848;1101;2036
1102;1462;2659
2390;5124;7830
7831;7577;16050
6803;7850;15245
6587;7380;14583
2916;2725;5891
4192;4196;8719
3516;3501;7335
958;925;1969
1247;1230;2588
4828;2954;8129
6960;9048;16671
7222;7709;15573
6378;7132;14064
2505;3095;5852
3675;4504;8535
2989;3730;7010
855;983;1913
1028;1353;2463
2608;5454;8383
8181;8086;17007
7105;8143;15871
6377;7201;14159
2854;2689;5765
3999;3948;8290
3327;3184;6770
902;818;1807
1087;985;2158
5354;3443;9191
7325;9243;17273
7107;7776;15510
6374;6962;13907
2391;3114;5753
3416;4337;8082
2847;3546;6646
739;891;1686
887;1196;2162
2972;6067;9376
8613;8564;17926
7050;8014;15720
6196;6958;13723
2907;2621;5749
3866;3621;7821
3039;3032;6328
802;692;1550
995;939;2017
5925;3726;10063
7823;9704;18242
7086;7774;15498
6215;6890;13669
2346;3204;5782
3134;4101;7535
2465;3332;6055
648;753;1471
798;1024;1895
3410;6586;10421
8914;9042;18742
7024;7948;15585
6288;6899;13774
2861;2657;5746
3518;3415;7223
2846;2510;5563
751;653;1457
828;798;1699
6308;4281;11060
8318;10057;19147
7033;7760;15419
6000;6851;13380
2326;3060;5626
2909;3867;7051
2289;3023;5530
590;740;1388
667;869;1609
3991;7278;11752
9415;9818;20039
7026;7816;15476
5914;6670;13109
2887;2366;5483
3388;2938;6573
2485;2368;5069
628;564;1234
706;690;1475
7105;5133;12747
8659;10778;20282
7123;7709;15456
5867;6363;12766
2154;3081;5429
2528;3518;6286
1937;2585;4722
439;561;1042
628;780;1480
5015;8114;13671
9766;10085;20705
6783;7786;15201
5747;6403;12684
2771;2300;5280
2998;2740;5987
2268;2049;4477
499;444;981
593;587;1224
8023;6507;15135
9173;11203;21292
6843;7539;15010
5667;6306;12447
1987;2840;5030
2214;2904;5303
1642;2201;4019
401;464;899
490;544;1075
6520;9354;16555
10268;10602;21755
6768;7445;14800
5448;6190;12186
2507;2051;4737
2400;2236;4812
1734;1776;3653
367;371;764
427;480;944
9034;8796;18578
9976;11689;22611
6597;7145;14334
5345;5930;11747
1662;2383;4203
1778;2198;4128
1413;1699;3247
294;286;602
331;367;735
10297;11104;22325
10416;11208;22559
5968;7024;13494
4911;5790;11165
1443;1543;3123
1455;1688;3285
1139;1305;2550
187;223;427
206;299;540
