0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
36476;40518;80256
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
11848;13758;26669
24628;26760;53587
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
8137;8595;17444
0;0;0
9947;10319;21133
18392;21604;41679
0;0;0
0;0;0
0;0;0
0;0;0
501;583;1130
3201;3892;7405
6403;6888;13853
8324;9593;18644
18047;19562;39224
0;0;0
87;208;309
235;221;473
603;630;1287
1439;2071;3640
6333;6840;13731
6139;6990;13682
7806;8017;16546
13834;15541;30588
58;101;164
619;566;1226
648;779;1475
682;814;1575
1699;1609;3457
4808;5583;10804
8317;9208;18230
6252;7210;14022
13393;14648;29303
203;93;310
382;644;1075
737;723;1522
1592;1697;3402
1946;2617;4744
7185;7480;15285
7326;8535;16509
5955;6387;12891
11150;12342;24518
150;426;591
1110;905;2113
1290;1377;2771
1423;1715;3262
2252;2255;4675
5728;6801;13064
8608;9200;18605
5199;5969;11627
10716;11870;23548
439;198;668
792;1256;2124
1402;1390;2911
2293;2507;5024
2239;2878;5316
7281;7744;15657
8013;9032;17747
4997;5353;10789
9020;10160;20020
247;691;973
1682;1272;3086
1736;2021;3907
2144;2432;4762
2597;2596;5426
6284;7290;14127
8529;9356;18651
4392;5194;9999
8851;9666;19311
615;319;975
1194;1848;3140
2006;2130;4301
3097;3194;6581
2349;2914;5492
7241;7675;15564
8089;9199;17996
4258;4636;9282
7613;8603;16911
386;876;1299
2079;1667;3911
2258;2754;5213
2896;3249;6383
2872;2854;5957
6437;7287;14365
8256;9119;18107
3813;4498;8670
7460;8214;16332
801;376;1221
1580;2366;4097
2675;2777;5677
3631;3989;7916
2473;3038;5726
7032;7574;15259
7937;8793;17436
3782;4167;8322
6546;7432;14577
418;1022;1497
2587;2131;4921
2699;3312;6244
3505;3992;7798
2911;2863;6047
6658;7591;14887
8090;8776;17597
3325;3944;7543
6260;6881;13693
955;510;1526
1954;2863;5025
3270;3286;6837
4226;4512;9117
2561;3160;5957
6875;7411;14867
7443;8646;16809
3371;3715;7383
5797;6408;12704
498;1246;1800
2994;2504;5744
